system,d,m,N,t_opt,noisy_Ps,fidelity,purity
Qubit,2,1,2,1,0.5000004995002914,0.9982530589302068,0.9965122214671158
Qubit,2,2,4,1,0.9977551649252526,0.9977551649252522,0.9955176391346015
Qubit,2,3,8,2,0.9395070172030856,0.9943386259918631,0.9887226917150208
Qubit,2,4,16,3,0.9497183459415137,0.9889361235213772,0.9780375398739646
Qutrit,3,1,3,1,0.9235252050760028,0.997332453710782,0.9946774786720451
Qutrit,3,2,9,2,0.9743490465872279,0.9912693795235225,0.9826495970772408
Qutrit,3,3,27,4,0.9431612240318308,0.9742845994152644,0.9494568966117894
Qutrit,3,4,81,7,0.9244227945592283,0.93718215845575,0.8794207104108016
